Latin_Name,Accepted,Accepted Name,Common,Author,TSN,Synonym1,Synonym2,Guild,ERMN,NETN,MIDN,NCRN
Sophora japonica,N,Styphnolobium japonicum,Japanese pagoda tree,(L.) Schott,506288,Styphnolobium japonicum,NA,Tree,1,1,0,0
Spiraea japonica,Y,Spiraea japonica,Japanese spiraea,L. f. ,25335,NA,NA,Shrub,1,1,0,0
Styphnolobium japonicum,Y,Styphnolobium japonicum,Japanese pagoda tree,(L.) Schott,820265,Sophora japonica,NA,Tree,1,1,0,0
Tussilago farfara,Y,Tussilago farfara,coltsfoot,L.,38583,NA,NA,Herbaceous,1,1,0,0
Ulmus pumila,Y,Ulmus pumila,Siberian elm,L.,19057,NA,NA,Tree,1,1,0,0
Urtica dioica,Y,Urtica dioica,stinging nettle,L.,19152,NA,NA,Herbaceous,1,1,0,0
Urtica dioica ssp. dioica,N,Urtica dioica,stinging nettle,L.,19153,Urtica dioica,NA,Herbaceous,1,1,0,0
Viburnum dilatatum,Y,Viburnum dilatatum,linden arrowwood,Thunb.,505677,NA,NA,Shrub,1,1,0,1
Viburnum lantana,Y,Viburnum lantana,wayfaring tree,L.,35264,NA,NA,Shrub,1,1,0,0
Viburnum opulus var. opulus,Y,Viburnum opulus var. opulus,European cranberrybush,L.,531140,NA,NA,Shrub,1,1,0,0
Viburnum plicatum,Y,Viburnum plicatum,Japanese snowball,Thunb.,35272,NA,NA,Shrub,1,1,0,1
Viburnum sieboldii,Y,Viburnum sieboldii,Siebold's arrowwood,Miq.,35278,NA,NA,Shrub,1,1,0,1
Vinca minor,Y,Vinca minor,lesser periwinkle,L.,30238,NA,NA,Shrub,1,1,1,1
Vincetoxicum,Y,Vincetoxicum,swallow-wort,Wolf,893777,NA,NA,Herbaceous,1,1,0,0
Vincetoxicum nigrum,Y,Vincetoxicum nigrum,black swallow-wort,(L.) Moench,523292,NA,NA,Herbaceous,1,1,0,0
Wisteria sp.,N,Wisteria,wisteria,Nutt.,27019,Wisteria,NA,Shrub,1,1,0,0
Wisteria ,Y,Wisteria,wisteria,Nutt.,27019,NA,NA,Shrub,1,1,0,0
Wisteria floribunda,Y,Wisteria floribunda,Japanese wisteria,(Willd.) DC,27020,NA,NA,Shrub,1,1,0,0
Wisteria sinensis,Y,Wisteria sinensis,Chinese wisteria,(Sims) DC.ÿ,20723,NA,NA,Shrub,1,1,0,1
